station,moment,variable,valeur
03006,2016-01-02 00:12:00.000000,PM25,6
03006,2016-01-02 00:13:00.000000,CO,0.1879
03006,2016-01-02 00:13:00.000000,NO2,1.7762
03006,2016-01-02 00:13:00.000000,O3,31.8798
03006,2016-01-02 00:13:00.000000,PM25,7
03006,2016-01-02 00:14:00.000000,CO,0.1942
03006,2016-01-02 00:14:00.000000,NO2,1.7068
03006,2016-01-02 00:14:00.000000,O3,32.7555
03006,2016-01-02 00:14:00.000000,PM25,5
03006,2016-01-02 00:15:00.000000,CO,0.1689
03006,2016-01-02 00:15:00.000000,NO2,2.026
03006,2016-01-02 00:15:00.000000,O3,32.2032
03006,2016-01-02 00:15:00.000000,PM25,5
03006,2016-01-02 00:16:00.000000,CO,0.182
03006,2016-01-02 00:16:00.000000,NO2,3.1023
03006,2016-01-02 00:16:00.000000,O3,30.7175
03006,2016-01-02 00:16:00.000000,PM25,6
03006,2016-01-02 00:17:00.000000,CO,0.2004
03006,2016-01-02 00:17:00.000000,NO2,3.9283
03006,2016-01-02 00:17:00.000000,O3,29.5447
03006,2016-01-02 00:17:00.000000,PM25,7
03006,2016-01-02 00:18:00.000000,CO,0.2078
03006,2016-01-02 00:18:00.000000,NO2,3.5758
03006,2016-01-02 00:18:00.000000,O3,30.0453
03006,2016-01-02 00:18:00.000000,PM25,14
03006,2016-01-02 00:19:00.000000,CO,0.2026
03006,2016-01-02 00:19:00.000000,NO2,2.4345
03006,2016-01-02 00:19:00.000000,O3,31.4123
03006,2016-01-02 00:19:00.000000,PM25,9
03006,2016-01-02 00:20:00.000000,CO,0.2012
03006,2016-01-02 00:20:00.000000,NO2,1.9505
03006,2016-01-02 00:20:00.000000,O3,31.9542
03006,2016-01-02 00:20:00.000000,PM25,9
03006,2016-01-02 00:21:00.000000,CO,0.1794
03006,2016-01-02 00:21:00.000000,NO2,2.266
03006,2016-01-02 00:21:00.000000,O3,31.3192
03006,2016-01-02 00:21:00.000000,PM25,13
03006,2016-01-02 00:22:00.000000,CO,0.1768
03006,2016-01-02 00:22:00.000000,NO2,2.8917
03006,2016-01-02 00:22:00.000000,O3,29.9012
03006,2016-01-02 00:22:00.000000,PM25,11
03006,2016-01-02 00:23:00.000000,CO,0.21
03006,2016-01-02 00:23:00.000000,NO2,2.7965
03006,2016-01-02 00:23:00.000000,O3,29.3438
03006,2016-01-02 00:23:00.000000,PM25,10
03006,2016-01-03 00:00:00.000000,CO,0.2258
03006,2016-01-03 00:00:00.000000,NO2,3.3568
03006,2016-01-03 00:00:00.000000,O3,28.5107
03006,2016-01-03 00:00:00.000000,PM25,12
03006,2016-01-03 00:01:00.000000,CO,0.2053
03006,2016-01-03 00:01:00.000000,NO2,3.4432
03006,2016-01-03 00:01:00.000000,O3,27.942
03006,2016-01-03 00:01:00.000000,PM25,12
03006,2016-01-03 00:02:00.000000,NO2,4.524
03006,2016-01-03 00:02:00.000000,O3,26.7332
03006,2016-01-03 00:02:00.000000,PM25,12
03006,2016-01-03 00:03:00.000000,CO,0.1904
03006,2016-01-03 00:03:00.000000,NO2,4.6584
03006,2016-01-03 00:03:00.000000,O3,26.0878
03006,2016-01-03 00:03:00.000000,PM25,12
03006,2016-01-03 00:04:00.000000,CO,0.1602
03006,2016-01-03 00:04:00.000000,NO2,5.8409
03006,2016-01-03 00:04:00.000000,O3,24.4945
03006,2016-01-03 00:04:00.000000,PM25,10
03006,2016-01-03 00:05:00.000000,CO,0.2006
03006,2016-01-03 00:05:00.000000,NO2,7.7033
03006,2016-01-03 00:05:00.000000,O3,23.1302
03006,2016-01-03 00:05:00.000000,PM25,10
03006,2016-01-03 00:06:00.000000,CO,0.2052
03006,2016-01-03 00:06:00.000000,NO2,7.3798
03006,2016-01-03 00:06:00.000000,O3,24.148
03006,2016-01-03 00:06:00.000000,PM25,13
03006,2016-01-03 00:07:00.000000,CO,0.1909
03006,2016-01-03 00:07:00.000000,NO2,5.9025
03006,2016-01-03 00:07:00.000000,O3,25.4727
03006,2016-01-03 00:07:00.000000,PM25,14
03006,2016-01-03 00:08:00.000000,CO,0.1948
03006,2016-01-03 00:08:00.000000,NO2,10.3003
03006,2016-01-03 00:08:00.000000,O3,21.2465
03006,2016-01-03 00:08:00.000000,PM25,13
03006,2016-01-03 00:09:00.000000,CO,0.2502
03006,2016-01-03 00:09:00.000000,NO2,9.8353
03006,2016-01-03 00:09:00.000000,O3,20.671
03006,2016-01-03 00:09:00.000000,PM25,13
03006,2016-01-03 00:10:00.000000,CO,0.2397
03006,2016-01-03 00:10:00.000000,NO2,8.4645
03006,2016-01-03 00:10:00.000000,O3,21.0245
03006,2016-01-03 00:10:00.000000,PM25,15
03006,2016-01-03 00:11:00.000000,CO,0.156
03006,2016-01-03 00:11:00.000000,NO2,3.391
03006,2016-01-03 00:11:00.000000,O3,28.9652
03006,2016-01-03 00:11:00.000000,PM25,4
03006,2016-01-03 00:12:00.000000,CO,0.1427
03006,2016-01-03 00:12:00.000000,NO2,7.0472
03006,2016-01-03 00:12:00.000000,O3,28.6958
03006,2016-01-03 00:12:00.000000,PM25,7
03006,2016-01-03 00:13:00.000000,CO,0.1302
03006,2016-01-03 00:13:00.000000,NO2,2.3747
03006,2016-01-03 00:13:00.000000,O3,32.3997
03006,2016-01-03 00:13:00.000000,PM25,5
03006,2016-01-03 00:14:00.000000,CO,0.1198
03006,2016-01-03 00:14:00.000000,NO2,4.5722
03006,2016-01-03 00:14:00.000000,O3,30.6128
03006,2016-01-03 00:14:00.000000,PM25,3
03006,2016-01-03 00:15:00.000000,CO,0.1379
03006,2016-01-03 00:15:00.000000,NO2,1.9135
03006,2016-01-03 00:15:00.000000,O3,32.4012
03006,2016-01-03 00:15:00.000000,PM25,5
03006,2016-01-03 00:16:00.000000,CO,0.1297
03006,2016-01-03 00:16:00.000000,NO2,7.078
03006,2016-01-03 00:16:00.000000,O3,28.4893
03006,2016-01-03 00:16:00.000000,PM25,7
03006,2016-01-03 00:17:00.000000,CO,0.1745
03006,2016-01-03 00:17:00.000000,NO2,10.729
03006,2016-01-03 00:17:00.000000,O3,24.1867
03006,2016-01-03 00:17:00.000000,PM25,17
03006,2016-01-03 00:18:00.000000,CO,0.1795
03006,2016-01-03 00:18:00.000000,NO2,11.5622
03006,2016-01-03 00:18:00.000000,O3,23.3825
03006,2016-01-03 00:18:00.000000,PM25,17
03006,2016-01-03 00:19:00.000000,CO,0.1545
03006,2016-01-03 00:19:00.000000,NO2,8.4837
03006,2016-01-03 00:19:00.000000,O3,26.1817
03006,2016-01-03 00:19:00.000000,PM25,12
03006,2016-01-03 00:20:00.000000,CO,0.1673
03006,2016-01-03 00:20:00.000000,NO2,6.336
03006,2016-01-03 00:20:00.000000,O3,27.6198
03006,2016-01-03 00:20:00.000000,PM25,9
03006,2016-01-03 00:21:00.000000,CO,0.1632
03006,2016-01-03 00:21:00.000000,NO2,9.1708
03006,2016-01-03 00:21:00.000000,O3,24.6317
03006,2016-01-03 00:21:00.000000,PM25,12
03006,2016-01-03 00:22:00.000000,CO,0.1885
03006,2016-01-03 00:22:00.000000,NO2,5.5348
03006,2016-01-03 00:22:00.000000,O3,26.1058
03006,2016-01-03 00:22:00.000000,PM25,11
03006,2016-01-03 00:23:00.000000,CO,0.1974
03006,2016-01-03 00:23:00.000000,NO2,5.0782
03006,2016-01-03 00:23:00.000000,O3,26.2097
03006,2016-01-03 00:23:00.000000,PM25,12
03006,2016-01-04 00:00:00.000000,CO,0.1758
03006,2016-01-04 00:00:00.000000,NO2,4.0323
03006,2016-01-04 00:00:00.000000,O3,27.6157
03006,2016-01-04 00:00:00.000000,PM25,2
03006,2016-01-04 00:01:00.000000,CO,0.1879
03006,2016-01-04 00:01:00.000000,NO2,6.0498
03006,2016-01-04 00:01:00.000000,O3,25.6056
03006,2016-01-04 00:01:00.000000,PM25,4
03006,2016-01-04 00:02:00.000000,NO2,8.7789
03006,2016-01-04 00:02:00.000000,O3,23.2236
03006,2016-01-04 00:02:00.000000,PM25,8
03006,2016-01-04 00:03:00.000000,CO,0.163
03006,2016-01-04 00:03:00.000000,NO2,9.0474
03006,2016-01-04 00:03:00.000000,O3,22.6646
03006,2016-01-04 00:03:00.000000,PM25,10
03006,2016-01-04 00:04:00.000000,CO,0.169
03006,2016-01-04 00:04:00.000000,NO2,12.3079
03006,2016-01-04 00:04:00.000000,O3,20.7483
03006,2016-01-04 00:04:00.000000,PM25,8
03006,2016-01-04 00:05:00.000000,CO,0.1581
03006,2016-01-04 00:05:00.000000,NO2,9.5534
03006,2016-01-04 00:05:00.000000,O3,22.6348
03006,2016-01-04 00:05:00.000000,PM25,4
03006,2016-01-04 00:06:00.000000,CO,0.1455
03006,2016-01-04 00:06:00.000000,NO2,9.2313
03006,2016-01-04 00:06:00.000000,O3,25.7925
03006,2016-01-04 00:06:00.000000,PM25,5
03006,2016-01-04 00:07:00.000000,CO,0.207
03006,2016-01-04 00:07:00.000000,NO2,6.6615
03006,2016-01-04 00:07:00.000000,O3,27.8468
03006,2016-01-04 00:07:00.000000,PM25,7
03006,2016-01-04 00:08:00.000000,CO,0.2925
03006,2016-01-04 00:08:00.000000,NO2,16.4095
03006,2016-01-04 00:08:00.000000,O3,20.2873
03006,2016-01-04 00:08:00.000000,PM25,7
03006,2016-01-04 00:09:00.000000,CO,0.3136
03006,2016-01-04 00:09:00.000000,NO2,24.9272
03006,2016-01-04 00:09:00.000000,O3,11.6763
03006,2016-01-04 00:09:00.000000,PM25,13
03006,2016-01-04 00:10:00.000000,CO,0.2018
03006,2016-01-04 00:10:00.000000,NO2,6.607
03006,2016-01-04 00:10:00.000000,O3,25.9418
03006,2016-01-04 00:10:00.000000,PM25,8
03006,2016-01-04 00:11:00.000000,CO,0.2802
03006,2016-01-04 00:11:00.000000,NO2,9.4745
03006,2016-01-04 00:11:00.000000,O3,23.6683
03006,2016-01-04 00:11:00.000000,PM25,11
03006,2016-01-04 00:12:00.000000,CO,0.18
03006,2016-01-04 00:12:00.000000,NO2,4.8987
03006,2016-01-04 00:12:00.000000,O3,27.097
03006,2016-01-04 00:12:00.000000,PM25,6
03006,2016-01-04 00:13:00.000000,CO,0.194
03006,2016-01-04 00:13:00.000000,NO2,3.218
03006,2016-01-04 00:13:00.000000,O3,28.7132
03006,2016-01-04 00:13:00.000000,PM25,6
03006,2016-01-04 00:14:00.000000,CO,0.1928
03006,2016-01-04 00:14:00.000000,NO2,2.2722
03006,2016-01-04 00:14:00.000000,O3,29.4147
03006,2016-01-04 00:14:00.000000,PM25,5
03006,2016-01-04 00:15:00.000000,CO,0.1753
03006,2016-01-04 00:15:00.000000,NO2,3.1665
03006,2016-01-04 00:15:00.000000,O3,28.5597
03006,2016-01-04 00:15:00.000000,PM25,5
03006,2016-01-04 00:16:00.000000,CO,0.2112
03006,2016-01-04 00:16:00.000000,NO2,3.853
03006,2016-01-04 00:16:00.000000,O3,26.2682
03006,2016-01-04 00:16:00.000000,PM25,9
03006,2016-01-04 00:17:00.000000,CO,0.217
03006,2016-01-04 00:17:00.000000,NO2,2.3647
03006,2016-01-04 00:17:00.000000,O3,27.7023
03006,2016-01-04 00:17:00.000000,PM25,9
03006,2016-01-04 00:18:00.000000,CO,0.1922
03006,2016-01-04 00:18:00.000000,NO2,1.6828
03006,2016-01-04 00:18:00.000000,O3,29.0378
03006,2016-01-04 00:18:00.000000,PM25,12
03006,2016-01-04 00:19:00.000000,CO,0.1877
03006,2016-01-04 00:19:00.000000,NO2,0.8503
03006,2016-01-04 00:19:00.000000,O3,31.423
03006,2016-01-04 00:19:00.000000,PM25,7
03006,2016-01-04 00:20:00.000000,CO,0.2062
03006,2016-01-04 00:20:00.000000,NO2,4.95
03006,2016-01-04 00:20:00.000000,O3,28.7255
03006,2016-01-04 00:20:00.000000,PM25,6
03006,2016-01-04 00:21:00.000000,CO,0.2183
03006,2016-01-04 00:21:00.000000,NO2,8.5418
03006,2016-01-04 00:21:00.000000,O3,23.6573
03006,2016-01-04 00:21:00.000000,PM25,13
03006,2016-01-04 00:22:00.000000,CO,0.2363
03006,2016-01-04 00:22:00.000000,NO2,19.0448
03006,2016-01-04 00:22:00.000000,O3,15.0728
03006,2016-01-04 00:22:00.000000,PM25,12
03006,2016-01-04 00:23:00.000000,CO,0.283
03006,2016-01-04 00:23:00.000000,NO2,24.4068
03006,2016-01-04 00:23:00.000000,O3,10.936
03006,2016-01-04 00:23:00.000000,PM25,12
03006,2016-01-05 00:00:00.000000,CO,0.238
03006,2016-01-05 00:00:00.000000,NO2,22.9842
03006,2016-01-05 00:00:00.000000,O3,12.2733
03006,2016-01-05 00:00:00.000000,PM25,12
